名稱,訪談程度(文獻),拜訪次數,醫師數量,糖尿病患者數量,藥膏患者數量,客流量,環境程度
101台北貓動物醫院,5,10,3,5,5,5,5
文藝獸醫院,5,9,3,4,5,5,4
富康動物醫院,5,9,1,5,5,4,4
隆記動物醫院,5,10,2,4,3,3,3
豐盛動物醫院,4,7,4,3,3,4,3
恩典動物醫院,4,8,4,2,2,3,4
東京頂尖動物醫院,4,8,2,2,2,4,5
集英動物醫院,4,5,2,2,4,4,5
晨光動物醫院,5,7,1,3,3,3,3
禾亞動物醫院,5,3,1,3,4,4,5
永信動物醫院,5,5,1,3,3,3,4
祐熙動物醫院,5,3,2,2,3,4,5
小王子動物醫院,4,3,3,2,3,3,5
台欣動物醫院,3,4,1,2,3,5,5
大晶獸醫院,4,8,1,0,4,3,3
曼哈頓動物醫院,4,3,3,1,2,3,4
上群動物醫院,3,2,3,2,2,3,5
中山動物醫院,2,5,3,0,,4,5
沐樂動物醫院,3,2,1,3,3,1,5
太僕動物醫院(龍江院),4,4,2,0,,3,3
樂膚莉動物醫院,3,1,1,0,4,3,4
成功獸醫院,4,7,1,0,,1,3
諾亞動物醫院,3,3,3,1,,2,3
路米動物醫院,3,3,3,0,,2,4
美加璦動物醫院,4,4,1,1,2,0,3
米亞動物醫院,5,3,1,0,,0,5
日健動物醫院,2,2,2,1,,4,3
德心動物醫院,3,1,2,0,,3,4
傑翔動物醫院,4,3,1,1,,0,3
澄諾動物醫院,2,2,1,0,2,1,4
中研動物醫院,2,1,3,0,0,3,3
寵樂動物醫院,2,2,2,0,0,3,3
澤禾動物醫院,2,2,2,0,,2,3
長沁動物醫院,1,2,2,0,,2,4
恩孺動物診所,1,1,1,0,,5,3
亞洲獸醫專科醫院,3,1,2,0,0,2,3
興泰動物醫院,2,1,2,0,,2,3
慈愛動物醫院,1,1,3,0,,3,2
恩加動物醫院,1,1,1,0,,4,3
極光動物醫院,1,2,2,0,,2,3
宏成動物醫院,3,1,1,0,0,2,3
泰山動物醫院,3,1,1,2,,0,2
貝恩動物醫院,3,1,1,0,,0,4
金旺動物醫院,2,1,1,0,,2,3
人人愛動物醫院,2,1,1,0,,3,2
梁動物內科醫院,1,1,1,0,,3,3
廣慈動物醫院,1,2,2,0,,1,3
專心動物醫院,1,1,1,0,,3,3
萬國家畜醫院,2,1,1,2,,0,3
台北動物醫院,2,1,1,0,1,1,3
芯安動物醫院,1,1,1,0,0,3,3
東宏獸醫院,3,1,1,0,,0,3
正安動物醫院,3,1,1,0,,1,2
嘉慶動物醫院,2,1,1,0,,0,4
長宏獸醫院,2,1,1,0,,1,3
興安動物醫院,2,1,1,2,,0,2
吉米動物醫院,1,2,1,0,,0,4
不萊梅特殊寵物專科醫院,1,1,1,0,,2,3
旺竹動物醫院,1,2,2,0,,0,3
五洲動物醫院,2,1,1,1,,0,3
凱揚動物醫院,2,1,1,0,,0,4
瀚生動物醫院,1,1,1,1,,1,3
安庭動物醫院,1,1,1,0,0,3,2
古亭動物醫院,1,1,1,0,0,3,2
杜瑪動物醫院,1,1,2,0,0,1,3
華遠獸醫院,3,1,1,0,,0,2
弘安動物醫院,2,2,1,0,,0,2
皇家動物醫院,1,1,2,0,,1,2
寵物中西整合醫療-和動物醫院,1,2,1,0,,0,3
敦品動物醫院,1,1,1,0,,0,4
維東尼動物醫院,1,1,2,0,,0,3
星辰動物醫院,1,1,2,0,,0,3
洪生動物醫院,2,1,1,0,0,1,2
王樣動物醫院,1,1,1,0,0,2,2
博愛動物醫院,1,1,1,0,0,2,2
恩旺動物醫院,1,1,1,0,0,2,2
澄毅動物醫院,1,1,1,0,0,3,1
台灣動物醫院,2,1,1,0,,0,2
三民動物醫院,2,1,1,0,,0,2
良醫動物醫院,2,1,1,0,,0,2
全陽動物醫院,2,1,1,0,,0,2
欣旺動物醫院,2,1,1,0,,0,2
新亞動物醫院,1,1,1,0,,0,3
永春動物醫院,1,1,1,0,,0,3
敦化動物醫院,1,1,1,0,,0,3
佑仁動物醫院,2,1,1,0,,0,2
康福動物醫院,1,1,1,0,0,2,1
戴瑩乾動物醫院,1,1,1,0,,0,2
欣欣動物醫院,1,1,1,0,,0,2
吉林動物醫院,1,1,1,0,,0,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
平均,2.3,2.4,1.5,0.7,1.9,1.8,3.1
